cls,count,crop,disease
Apple___Apple_scab,630,Apple,Apple_scab
Apple___Black_rot,621,Apple,Black_rot
Apple___Cedar_apple_rust,275,Apple,Cedar_apple_rust
Apple___healthy,1645,Apple,healthy
Blueberry___healthy,1502,Blueberry,healthy
Cherry___Powdery_mildew,1052,Cherry,Powdery_mildew
Cherry___healthy,854,Cherry,healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot,513,Corn,Cercospora_leaf_spot Gray_leaf_spot
Corn___Common_rust,1192,Corn,Common_rust
Corn___Northern_Leaf_Blight,985,Corn,Northern_Leaf_Blight
Corn___healthy,1162,Corn,healthy
Grape___Black_rot,1180,Grape,Black_rot
Grape___Esca_(Black_Measles),1383,Grape,Esca_(Black_Measles)
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076,Grape,Leaf_blight_(Isariopsis_Leaf_Spot)
Grape___healthy,423,Grape,healthy
Orange___Haunglongbing_(Citrus_greening),5507,Orange,Haunglongbing_(Citrus_greening)
Peach___Bacterial_spot,2297,Peach,Bacterial_spot
Peach___healthy,360,Peach,healthy
"Pepper,_bell___Bacterial_spot",997,"Pepper,_bell",Bacterial_spot
"Pepper,_bell___healthy",1478,"Pepper,_bell",healthy
Potato___Early_blight,1000,Potato,Early_blight
Potato___Late_blight,1000,Potato,Late_blight
Potato___healthy,152,Potato,healthy
Raspberry___healthy,371,Raspberry,healthy
Soybean___healthy,5090,Soybean,healthy
Squash___Powdery_mildew,1835,Squash,Powdery_mildew
Strawberry___Leaf_scorch,1109,Strawberry,Leaf_scorch
Strawberry___healthy,456,Strawberry,healthy
Tomato___Bacterial_spot,2127,Tomato,Bacterial_spot
Tomato___Early_blight,1000,Tomato,Early_blight
Tomato___Late_blight,1909,Tomato,Late_blight
Tomato___Leaf_Mold,952,Tomato,Leaf_Mold
Tomato___Septoria_leaf_spot,1771,Tomato,Septoria_leaf_spot
Tomato___Spider_mites Two-spotted_spider_mite,1676,Tomato,Spider_mites Two-spotted_spider_mite
Tomato___Target_Spot,1404,Tomato,Target_Spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus,5357,Tomato,Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_mosaic_virus,373,Tomato,Tomato_mosaic_virus
Tomato___healthy,1591,Tomato,healthy
